id,feed_rate_kg_hr,reactor_temp_c,reduction_time_min,grind_micron,h2_recycle,heat_recovery,condenser_mode,oxygen_kg_hr,power_kw,h2_loss_kg_hr,complexity_score,thermal_margin_c,conversion,robustness_score,yield_retention,worst_oxygen_kg_hr,worst_thermal_margin_c,max_power_kw,max_h2_loss_kg_hr,rank_score,pareto
candidate_0051,5.0,850.0,45.0,100.0,False,True,low,0.05266967345454545,13.410000000000002,0.045,1.5,240.0,0.3387727272727273,0.8579164802386279,0.8199999999999998,0.04318913223272726,234.6,15.501600000000002,0.06075,-1.261843646065921,False
candidate_0052,5.0,850.0,45.0,100.0,False,True,nominal,0.05780817818181818,13.540000000000001,0.045,1.7,240.0,0.3387727272727273,0.8582159855571967,0.8199999999999998,0.0474027061090909,234.6,15.6316,0.06075,-1.2895196282199248,False
candidate_0053,5.0,850.0,45.0,100.0,False,True,high,0.06101974363636363,13.71,0.045,1.95,240.0,0.3387727272727273,0.8585990761001701,0.8199999999999998,0.05003618978181817,234.6,15.801600000000002,0.06075,-1.3325178574597618,False
candidate_0054,5.0,850.0,45.0,100.0,True,False,low,0.05266967345454545,13.530000000000001,0.012,1.7,240.0,0.3387727272727273,0.8844820399113081,0.8199999999999998,0.04318913223272726,234.6,15.6216,0.016200000000000003,-1.2292518625241686,True
candidate_0055,5.0,850.0,45.0,100.0,True,False,nominal,0.05780817818181818,13.66,0.012,1.9,240.0,0.3387727272727273,0.8847762811127379,0.8199999999999998,0.0474027061090909,234.6,15.7516,0.016200000000000003,-1.256935214442167,True
candidate_0056,5.0,850.0,45.0,100.0,True,False,high,0.06101974363636363,13.83,0.012,2.15,240.0,0.3387727272727273,0.8851527114967461,0.8199999999999998,0.05003618978181817,234.6,15.921600000000002,0.016200000000000003,-1.2999427679045552,True
candidate_0057,5.0,850.0,45.0,100.0,True,True,low,0.05266967345454545,13.110000000000001,0.012,2.2,240.0,0.3387727272727273,0.883491533180778,0.8199999999999998,0.04318913223272726,234.6,15.201600000000001,0.016200000000000003,-1.195038571946911,True
candidate_0058,5.0,850.0,45.0,100.0,True,True,nominal,0.05780817818181818,13.24,0.012,2.4000000000000004,240.0,0.3387727272727273,0.8838048338368579,0.8199999999999998,0.0474027061090909,234.6,15.3316,0.016200000000000003,-1.2226952406283988,True
candidate_0059,5.0,850.0,45.0,100.0,True,True,high,0.06101974363636363,13.41,0.012,2.6500000000000004,240.0,0.3387727272727273,0.8842053691275167,0.8199999999999998,0.05003618978181817,234.6,15.501600000000002,0.016200000000000003,-1.2656690472214764,True
candidate_0060,5.0,850.0,45.0,200.0,False,False,low,0.04938356072727273,13.205000000000002,0.045,1.0,240.0,0.31763636363636366,0.8574322016071354,0.8199999999999998,0.04049451979636363,234.6,15.296600000000002,0.06075,-1.192851084150011,False
candidate_0061,5.0,850.0,45.0,200.0,False,False,nominal,0.054201469090909095,13.335,0.045,1.2,240.0,0.31763636363636366,0.8577410323709536,0.8199999999999998,0.04444520465454545,234.6,15.4266,0.06075,-1.2212193226806651,False
candidate_0062,5.0,850.0,45.0,200.0,False,False,high,0.05721266181818182,13.505,0.045,1.45,240.0,0.31763636363636366,0.8581359167386564,0.8199999999999998,0.046914382690909084,234.6,15.5966,0.06075,-1.264641860565881,False
